R,a,delta,F,R_a,delta_a,F_Eah
3,25,2.484803585,0.298965867,0.12,0.009939214,3.75762E-05
3,25,2.96768579,1.552737926,0.12,0.011870743,0.00019516
3,25,3.500939136,-0.613087434,0.12,0.014003757,-7.70573E-05
3,25,3.9961107,-0.337370736,0.12,0.015984443,-4.24032E-05
3,25,4.492136948,-0.306540792,0.12,0.017968548,-3.85283E-05
3,25,4.987871699,0.66066425,0.12,0.019951487,8.30371E-05
3,25,5.458174403,2.041014562,0.12,0.021832698,0.00025653
3,25,5.985047235,0.448128706,0.12,0.023940189,5.63241E-05
3,25,6.437985888,3.46859083,0.12,0.025751944,0.000435958
3,25,6.971629454,1.0353421,0.12,0.027886518,0.000130129
3,25,7.472249774,1.101681908,0.12,0.029888999,0.000138467
3,25,7.976305946,0.681869701,0.12,0.031905224,8.57024E-05
3,25,8.47683659,0.421717045,0.12,0.033907346,5.30045E-05
3,25,8.954305851,2.367258475,0.12,0.035817223,0.000297534
3,25,9.456247426,1.945386759,0.12,0.03782499,0.000244511
3,25,9.929556733,4.222059632,0.12,0.039718227,0.000530659
3,25,10.44051753,3.28958811,0.12,0.04176207,0.00041346
3,25,10.94740998,2.452638775,0.12,0.04378964,0.000308266
3,25,11.45560415,2.194150311,0.12,0.045822417,0.000275777
3,25,11.96035688,1.475361643,0.12,0.047841428,0.000185434
3,25,12.44252721,3.226022227,0.12,0.049770109,0.00040547
3,25,12.93602858,3.154239614,0.12,0.051744114,0.000396448
3,25,13.40888928,5.513094267,0.12,0.053635557,0.000692926
3,25,13.91422931,5.168208905,0.12,0.055656917,0.000649578
3,25,14.43128935,4.498119284,0.12,0.057725157,0.000565357
3,25,14.92889749,3.954331954,0.12,0.05971559,0.00049701
3,25,15.43778829,3.072656521,0.12,0.061751153,0.000386194
3,25,15.9227898,4.333037723,0.12,0.063691159,0.000544608
3,25,16.40149429,6.16505158,0.12,0.065605977,0.000774869
3,25,16.88788408,7.525693337,0.12,0.067551536,0.000945884
3,25,17.39622074,7.159187287,0.12,0.069584883,0.000899819
3,25,17.90430666,6.104449481,0.12,0.071617227,0.000767252
3,25,18.40631209,5.750907754,0.12,0.073625248,0.000722816
3,25,18.91186215,5.257643634,0.12,0.075647449,0.000660819
